date,url,sha256,bytes,rows_country
20230227,http://data.gdeltproject.org/events/20230227.export.CSV.zip,99096182025d38f0bebbec2ec63a87ff4570d59e5bf16bf7c83ccda304365182,6256706,4212
20230228,http://data.gdeltproject.org/events/20230228.export.CSV.zip,c01d22181d61c42c68d3c7c0444a8c97945260c7ba426757d7dfa8cfd4c2f54a,7387814,4559
20230301,http://data.gdeltproject.org/events/20230301.export.CSV.zip,0a7cfa68222baadb3a69c6d1a45c1b5f26a1541b9870ad008bb3c42127c5efc6,7587646,4374
20230302,http://data.gdeltproject.org/events/20230302.export.CSV.zip,d4b05341e4dacca1a4ed9134b3a757e4755a64604b999bb5330d3f982a7fe914,7524900,4933
20230303,http://data.gdeltproject.org/events/20230303.export.CSV.zip,3c213ebf757a8fa0f56ee4b80ca8d4d5598da9804d3357fd9b34335fe281844e,7122965,4594
20230304,http://data.gdeltproject.org/events/20230304.export.CSV.zip,488bb0c06c1eb7ff46087e90f6868185dc27987fa72af761862e07392f37b509,4172476,2651
20230305,http://data.gdeltproject.org/events/20230305.export.CSV.zip,a0b3c4cce5c300c8366fb58e28d5e834574bc201ddc98c4025cca2178a20f59a,3470194,1873
20230306,http://data.gdeltproject.org/events/20230306.export.CSV.zip,8c77945703d31a794e5ca587a6965a4312b68bdf5c994dd60bc8be59dd80920d,6244679,3358
20230307,http://data.gdeltproject.org/events/20230307.export.CSV.zip,9e92400912c0c26974f8025ea66d63673e4d86a1cc52a1bf7bad46922098c3df,7182934,3588
20230308,http://data.gdeltproject.org/events/20230308.export.CSV.zip,946f4cfd92b895415da27ee03712085572f1f591eaf9e23f4f1a95732800a257,7380234,3465
20230309,http://data.gdeltproject.org/events/20230309.export.CSV.zip,478661946745957ce0c99e6053864092581343c6c01b172fd26c76491d3a50bb,7473418,3425
20230310,http://data.gdeltproject.org/events/20230310.export.CSV.zip,5ac49097c069b38a0e4d1c8d08769c5cebed618f43a8c2e8f25f4e919cee9dac,7291217,3405
20230311,http://data.gdeltproject.org/events/20230311.export.CSV.zip,e431be236908a3048126449ff36cef5634c22e3ae9916ae38a36c0db9f8633f9,4270342,1893
20230312,http://data.gdeltproject.org/events/20230312.export.CSV.zip,6f26632904c13ebf9755412de76e7415bbd4f2b8b748819b7a1522675220bf50,3500958,1839
20230313,http://data.gdeltproject.org/events/20230313.export.CSV.zip,d95e5d67f120beaa23ffe3582766fd6aafca502dd9add95617549c8129813d8a,6212048,3748
20230314,http://data.gdeltproject.org/events/20230314.export.CSV.zip,6c30f42990d754d6dffc35ffb2770e8e0c4f6b3b6b98108557e9850d2c49e7c6,7153514,4021
20230315,http://data.gdeltproject.org/events/20230315.export.CSV.zip,b2738dfc2686e1912895fcf96f912354eef2586a3c7c76aac247639c213dc02c,7563726,4489
20230316,http://data.gdeltproject.org/events/20230316.export.CSV.zip,00760533b0260598ca57968b9ebf51432678b81a8aa4aef4e715ffc236fffeae,7502933,4193
20230317,http://data.gdeltproject.org/events/20230317.export.CSV.zip,9c1cc05c735e088b6929d2c4d571f93feba23052437e4ff247201da09676169e,7211277,4732
20230318,http://data.gdeltproject.org/events/20230318.export.CSV.zip,8277cd805b25a4cbdb9a385d1bd3dbb729957c1e30a7992f372a3ff3d37a8af7,4331656,3557
20230319,http://data.gdeltproject.org/events/20230319.export.CSV.zip,c883adeda14388e896cbebb6be09812556876df2a078b1ac5630a7b53553872f,3731746,2986
20230320,http://data.gdeltproject.org/events/20230320.export.CSV.zip,003a71b9c55aa76cdce92093b2f378fe32e13255e34b4d40c181c9548392fb4c,6682769,4239
20230321,http://data.gdeltproject.org/events/20230321.export.CSV.zip,8bdedaffde251d821f4b1fb9538ad5237cbbbdfd3dc22398d9dab2ecafee356c,6911160,4275
20230322,http://data.gdeltproject.org/events/20230322.export.CSV.zip,9acdf3e6f110a582ff1c7ed104beb1c25899933e19c5272076ecc22a0eb0287b,4223243,2707
20230323,http://data.gdeltproject.org/events/20230323.export.CSV.zip,,0,0
20230324,http://data.gdeltproject.org/events/20230324.export.CSV.zip,9deba75ec32f4e5894211c3bdbcf4d6338c29cf6635d2bbd9d397ddd931db420,14104045,6836
20230325,http://data.gdeltproject.org/events/20230325.export.CSV.zip,23fa663c9166bb53ebc385fa3424e9e99d9291333209cdd687acebecece1bc0f,8261392,4403
20230326,http://data.gdeltproject.org/events/20230326.export.CSV.zip,32d2db350ce3448a8ea88fb1b5577343ecc6a53312f383e1e43807d89bfd8075,6868223,3885
20230327,http://data.gdeltproject.org/events/20230327.export.CSV.zip,8baf4bbba7961f3fdc94500e2ba4e7365085c4cdd1334ae5ef843571783d4d09,11552999,5614
20230328,http://data.gdeltproject.org/events/20230328.export.CSV.zip,8884161019aa4969449b2a61088ec5e3ad793c9986c53bd6e3127844fafbfbe1,12700569,5981
20230329,http://data.gdeltproject.org/events/20230329.export.CSV.zip,c0033aed2d748b8cd31ade0f489d0626159f968fecd1429ecb3e2a009a5e2c87,13198893,6272
20230330,http://data.gdeltproject.org/events/20230330.export.CSV.zip,90a4a24b2b0e3d6902eace51fab2baedc0275f84dd1e111f351bae2de4ed44e7,13105344,7525
20230331,http://data.gdeltproject.org/events/20230331.export.CSV.zip,27d30502af2e5935077ac3f65e4100f5c67f1bb710f4cb1b2c73e8fda0302a2c,12128781,6382
20230401,http://data.gdeltproject.org/events/20230401.export.CSV.zip,ab6abecb994c95ff5802320248e18207dded8f55e98a5a85052c9650d773534c,7182449,3549
20230402,http://data.gdeltproject.org/events/20230402.export.CSV.zip,0cd5f90d83acb89d7b8b6692f9e865398ec6236671afc20014f3b80856fcf876,5996346,4267
20230403,http://data.gdeltproject.org/events/20230403.export.CSV.zip,5c6913981dfd99b721b16bb1eba7e977aa357175844f4664f0334bd8f61c2d07,10674457,7646
20230404,http://data.gdeltproject.org/events/20230404.export.CSV.zip,e26fed8db9b2a4a601d38302e7acc597e1650f20e0337ed8000be2b59a226dcb,12040600,6897
20230405,http://data.gdeltproject.org/events/20230405.export.CSV.zip,5089ab17eeb91a13c15fef71b07c30724f8b92768601e276bcf12a3db05f0ec7,12851445,6733
20230406,http://data.gdeltproject.org/events/20230406.export.CSV.zip,cd8f2ef680b4c6a1c1259d500fcbb71000fa9a4ec26d435258598762eb8d1d27,12202611,6019
20230407,http://data.gdeltproject.org/events/20230407.export.CSV.zip,ce7464d80d314e4cf9a4c8447694608e846dda3a9417afb608deee1fca1c71e6,10182537,5366
20230408,http://data.gdeltproject.org/events/20230408.export.CSV.zip,14360d1e5c75621f3df7793b96dc48f51e6900b93286e98a1388a08c160235f5,6584075,3904
20230409,http://data.gdeltproject.org/events/20230409.export.CSV.zip,64a2d20ecb5b68ca301652ec545789fd04a5c8182c8ef515ee7de70d72d590e9,5471731,2558
20230410,http://data.gdeltproject.org/events/20230410.export.CSV.zip,ffc55fc09118d9422660e9e2aeb70502a50a9fe4f8d4776c25f866d2e2321d96,9285499,5022
20230411,http://data.gdeltproject.org/events/20230411.export.CSV.zip,2ea1cd09abc712f4c5905a4ac32b79b6cbdd13007922ecf5161907e27d650ce0,11549121,5146
20230412,http://data.gdeltproject.org/events/20230412.export.CSV.zip,b6a560407d7f0e9146c1fe6255fa20da2fc42ba88e66a1eca2830928237d42dc,12124778,5271
20230413,http://data.gdeltproject.org/events/20230413.export.CSV.zip,747c1668e698b0527df5fb7e4111bda53899ccef5fd8f284bc3f03ed02b25a0a,12342264,5371
20230414,http://data.gdeltproject.org/events/20230414.export.CSV.zip,c45b8fb79ed7ea52d5a02868299a7f60241f99c01099560e33d825dfba8edeed,11426280,5373
20230415,http://data.gdeltproject.org/events/20230415.export.CSV.zip,7079db394c6c10e5ca700d2488aed7d80c842461f2175e271314429558a08e07,6666266,3041
20230416,http://data.gdeltproject.org/events/20230416.export.CSV.zip,4994e27396ee4dbae8406e274e448039003571f2169f814251a8885d2aa0436d,5727138,2738
20230417,http://data.gdeltproject.org/events/20230417.export.CSV.zip,abed4c8fe8c243ed720f7497c1b8820ba3a384c91f3a9ab8c1fbf0c60f0a19c7,10455276,6033
20230418,http://data.gdeltproject.org/events/20230418.export.CSV.zip,f2897e80db518eacd223a58ae24de31945481e336408c267890aab29ff24733e,11766843,7008
20230419,http://data.gdeltproject.org/events/20230419.export.CSV.zip,ca37abbf52dfb3344b26b7a31230de269cfb684fcd6fa4dc720c683336299845,11944299,5491
20230420,http://data.gdeltproject.org/events/20230420.export.CSV.zip,7e77b193b398f342a11e2a0f9204c0d1c333176ea9ff081fb1c664cfd3035af9,11518486,4549
20230421,http://data.gdeltproject.org/events/20230421.export.CSV.zip,1d9722fcb70bbde7b2a0011fe288bab664934cbbd93d2856c19deeed78d276ff,11025918,5052
20230422,http://data.gdeltproject.org/events/20230422.export.CSV.zip,00e6d1443f025ea2c4726c4efe323a748c32422209e08d38624b404cdf008745,6256953,2673
20230423,http://data.gdeltproject.org/events/20230423.export.CSV.zip,4d61ec47f9976f6d6a794cd59e3c14537cf9b4396e96f1f62b169c5f547c88d1,5476506,2830
20230424,http://data.gdeltproject.org/events/20230424.export.CSV.zip,8d2733ab62d28fbcf4953caaca54f45f00d0139cbfa3d1a296aeee45cad2bf2e,10350815,4990
20230425,http://data.gdeltproject.org/events/20230425.export.CSV.zip,f1750e52231b381553ca628f577afffd274c4c30c353c2d31938b0ad6ed683a1,11750320,5299
20230426,http://data.gdeltproject.org/events/20230426.export.CSV.zip,6dc9eb5e395c62e583e53209db541e7dd44f115cd71704b08bd40940b38e9f81,12202561,5819
20230427,http://data.gdeltproject.org/events/20230427.export.CSV.zip,5f2e3a02374ed966dd37fa696ed7c9fce8adc11f8af1d6928a06c7890ab997a8,12261411,5475
20230428,http://data.gdeltproject.org/events/20230428.export.CSV.zip,3087bf34b71bb566a92497a770eee9ef74e57d0f7794094058f7711a9a7032a0,11537402,5352
20230429,http://data.gdeltproject.org/events/20230429.export.CSV.zip,ca4149d8a903b2f753357edac70a74bea97aeda429e2afc2be080f0b4879684c,6664010,3189
20230430,http://data.gdeltproject.org/events/20230430.export.CSV.zip,c9718b40905f999546fd237089633eebd7bcfc0056a75a85d2cc84cb2a30bfdf,5795441,3225
20230501,http://data.gdeltproject.org/events/20230501.export.CSV.zip,efb104763159191b4f539c69d2cce444e3ec24e6b372e4e153e8e8b8f9f0d46e,9342360,4135
20230502,http://data.gdeltproject.org/events/20230502.export.CSV.zip,39b837285109b3059056e1a333900559ba1d16b005bc328657785d58102ff17a,11369619,4345
20230503,http://data.gdeltproject.org/events/20230503.export.CSV.zip,d9a6393ddc4106a78b4ade5150b618d9117e97a2eb5043bf0169c095b492e31d,12030918,5703
20230504,http://data.gdeltproject.org/events/20230504.export.CSV.zip,2231f24e700de6f56eb82e746bc2fdf0866612b25c8264dbb1ad81b8af029f7a,12047539,6334
20230505,http://data.gdeltproject.org/events/20230505.export.CSV.zip,d014738bc52b1dfcdae6b639f89bbcb74136dd81a6551b7de7de8eb4bec3665a,11443310,5667
20230506,http://data.gdeltproject.org/events/20230506.export.CSV.zip,c9aa42c03b6e484858210110ee8d7ecba37b59c8666ef64f9be69e8e4329389f,6749984,3637
20230507,http://data.gdeltproject.org/events/20230507.export.CSV.zip,647c19bb57a4b00cf1cf6a48f62fd55175534695d9a7e8830a7311c716c597d4,5634797,3118
20230508,http://data.gdeltproject.org/events/20230508.export.CSV.zip,4e99a001ed1db420a74447efaf72ae3879941b36bf0ca1c992419d3837b48986,9810494,4354
20230509,http://data.gdeltproject.org/events/20230509.export.CSV.zip,87461ea3838013859223c8ce1516c365845aba494f6e38d321ddc8ee28efac15,11573093,5372
20230510,http://data.gdeltproject.org/events/20230510.export.CSV.zip,22258ecf8f5246f4d0675a019c506d76b388c9202bdd569f352047f1a89e534e,11779902,4578
20230511,http://data.gdeltproject.org/events/20230511.export.CSV.zip,78ec41b0609bea6e12176121f5b22184f023d8bdc6aef86706afd6b9902934bb,11578965,5427
20230512,http://data.gdeltproject.org/events/20230512.export.CSV.zip,73a139813ad599ceb6d0dcb2f8d09f76697ccc4b9080249394c371dedcc20647,11117072,5452
20230513,http://data.gdeltproject.org/events/20230513.export.CSV.zip,c064d8052174b5cd6ad44fe6a7e9d3a7e8a3a71c8982a4662b29474b60cca4b5,6618912,3910
20230514,http://data.gdeltproject.org/events/20230514.export.CSV.zip,fa6a19af05b853b311130c0183ce146ae63c975a7cfaf2405337845833d9d9b0,5426128,3268
20230515,http://data.gdeltproject.org/events/20230515.export.CSV.zip,6fed83eff7240c0f34d0ed9fb6fbfb143cb50e98fa4ddeb3339576a53df95b0f,10063852,5904
20230516,http://data.gdeltproject.org/events/20230516.export.CSV.zip,e71a58c63f7baa05b5ca391e5d485331332f4ed23478838049af0c27a7d95731,11392189,6362
20230517,http://data.gdeltproject.org/events/20230517.export.CSV.zip,a73963a98a79e735a5ec32cdf408f4fe163a224528e1fc6b3385bda1d3fb213a,12113012,6211
